,MluCI/numCuts,HpyCH4IV/numCuts,AluI/numCuts,CviAII/numCuts,NcuII/numCuts,AciI/numCuts,Asp748I/numCuts,Hpy166III/numCuts,AccII/numCuts,BfaI/numCuts,Asi256I/numCuts,AspLEI/numCuts,AcaIV/numCuts,AfaI/numCuts,CviSIII/numCuts,CviRI/numCuts,MseI/numCuts,TspGWI/numCuts,BceAI/numCuts,BscHI/numCuts,Hpy30XIII/numCuts,TspDTI/numCuts,BtsIMutI/numCuts,CdiI/numCuts,BspNCI/numCuts,BccI/numCuts,Bme585I/numCuts,BpuJI/numCuts,Hin4II/numCuts,BseMII/numCuts,HpyUM032XIV/numCuts,HpyII/numCuts,SthSt3II/numCuts,CseI/numCuts,BspD6I/numCuts,BsmEI/numCuts,AlwXI/numCuts,Bth571I/numCuts,BhaI/numCuts,AspCNI/numCuts,Hpy99XIII/numCuts,Cla11845III/numCuts,TsuI/numCuts,HpyAXIV/numCuts,LmnI/numCuts,AclWI/numCuts,BseGI/numCuts,BpuNI/numCuts,BssIMI/numCuts,AsuHPI/numCuts,Alw26I/numCuts,SpnRII/numCuts,UbaF11I/numCuts,Sbo46I/numCuts,AclI/numCuts,Asp52I/numCuts,CstMI/numCuts,SspI/numCuts,Lde4408II/numCuts,PinP10III/numCuts,MluCI/RMS,HpyCH4IV/RMS,AluI/RMS,CviAII/RMS,NcuII/RMS,AciI/RMS,Asp748I/RMS,Hpy166III/RMS,AccII/RMS,BfaI/RMS,Asi256I/RMS,AspLEI/RMS,AcaIV/RMS,AfaI/RMS,CviSIII/RMS,CviRI/RMS,MseI/RMS,TspGWI/RMS,BceAI/RMS,BscHI/RMS,Hpy30XIII/RMS,TspDTI/RMS,BtsIMutI/RMS,CdiI/RMS,BspNCI/RMS,BccI/RMS,Bme585I/RMS,BpuJI/RMS,Hin4II/RMS,BseMII/RMS,HpyUM032XIV/RMS,HpyII/RMS,SthSt3II/RMS,CseI/RMS,BspD6I/RMS,BsmEI/RMS,AlwXI/RMS,Bth571I/RMS,BhaI/RMS,AspCNI/RMS,Hpy99XIII/RMS,Cla11845III/RMS,TsuI/RMS,HpyAXIV/RMS,LmnI/RMS,AclWI/RMS,BseGI/RMS,BpuNI/RMS,BssIMI/RMS,AsuHPI/RMS,Alw26I/RMS,SpnRII/RMS,UbaF11I/RMS,Sbo46I/RMS,AclI/RMS,Asp52I/RMS,CstMI/RMS,SspI/RMS,Lde4408II/RMS,PinP10III/RMS,MluCI/avgMW,HpyCH4IV/avgMW,AluI/avgMW,CviAII/avgMW,NcuII/avgMW,AciI/avgMW,Asp748I/avgMW,Hpy166III/avgMW,AccII/avgMW,BfaI/avgMW,Asi256I/avgMW,AspLEI/avgMW,AcaIV/avgMW,AfaI/avgMW,CviSIII/avgMW,CviRI/avgMW,MseI/avgMW,TspGWI/avgMW,BceAI/avgMW,BscHI/avgMW,Hpy30XIII/avgMW,TspDTI/avgMW,BtsIMutI/avgMW,CdiI/avgMW,BspNCI/avgMW,BccI/avgMW,Bme585I/avgMW,BpuJI/avgMW,Hin4II/avgMW,BseMII/avgMW,HpyUM032XIV/avgMW,HpyII/avgMW,SthSt3II/avgMW,CseI/avgMW,BspD6I/avgMW,BsmEI/avgMW,AlwXI/avgMW,Bth571I/avgMW,BhaI/avgMW,AspCNI/avgMW,Hpy99XIII/avgMW,Cla11845III/avgMW,TsuI/avgMW,HpyAXIV/avgMW,LmnI/avgMW,AclWI/avgMW,BseGI/avgMW,BpuNI/avgMW,BssIMI/avgMW,AsuHPI/avgMW,Alw26I/avgMW,SpnRII/avgMW,UbaF11I/avgMW,Sbo46I/avgMW,AclI/avgMW,Asp52I/avgMW,CstMI/avgMW,SspI/avgMW,Lde4408II/avgMW,PinP10III/avgMW
0,48,2,21,17,1,2,2,7,1,14,9,2,16,17,1,24,21,1,1,2,11,6,6,1,9,4,1,1,5,4,17,12,6,2,3,2,6,5,2,1,1,1,1,2,1,4,10,9,1,5,1,1,1,5,2,4,5,3,1,2,188.0033798,524.5607305,469.3737662,452.0897437,674.1120918,753.4509471,829.3054161,825.9725056,947.5407408,902.2127195,893.0439022,963.9785942,923.8913836,882.4096583,956.1085288,897.4018476,856.5489265,916.0428669,971.3774149,1001.258689,984.3340204,981.9540795,983.4683172,1029.293739,1016.880617,1023.702526,1065.198408,1104.820979,1105.695269,1109.883793,1081.933849,1062.968222,1063.088528,1077.341598,1090.7961,1105.240876,1106.889917,1122.494558,1135.356188,1164.760293,1193.259663,1220.919337,1247.79678,1268.979705,1294.474075,1297.03428,1283.227719,1270.509618,1294.204062,1294.981272,1317.771346,1340.046974,1361.834466,1358.78214,1367.347682,1367.507991,1365.744544,1369.980022,1390.079277,1403.63481,83319,113404.16,133454.0845,169033.9091,191378.9551,212101.5055,239323.2581,267775.09,286487.6436,292114.2261,273334.1129,272954.9683,271196.8873,246849.1572,258792.2438,243358.7772,218429.3415,227843.4854,237166.6715,250901.2871,248901.8727,247680.0796,242593.7069,250813.2318,260453.4876,269133.626,276779.8178,284364.3468,298918.8458,307519.8911,292641.4234,282016.3287,282457.6096,288063.8707,290487.8013,294394.1706,293361.9508,291293.9194,295485.0673,301434.7732,307346.5828,313220.8571,319057.9525,329788.0975,335518.3636,338051.548,328021.1712,321779.2456,327131.9096,322678.6063,327936.6705,333164.6886,338362.9174,336127.0899,338913.8939,347232.3702,345375.158,350989.1865,355859.1429,355355.0777
1,46,2,21,17,1,2,2,7,1,12,10,2,17,14,1,23,21,1,1,2,10,7,7,1,9,5,1,1,4,4,19,12,7,2,3,2,6,4,2,1,1,1,1,2,1,4,10,8,1,5,1,1,1,5,2,4,5,3,1,2,192.1209424,535.4030024,476.1475992,457.3330169,681.8275054,761.8792998,838.3777048,834.3662265,957.070905,918.5858991,903.7004962,975.3478512,929.7126937,897.4299814,972.1500249,913.4539034,870.3540232,930.601499,986.6319183,1016.776949,1001.351343,996.0402785,992.0328415,1038.41867,1025.505521,1030.036588,1071.927922,1111.918078,1115.373675,1119.455831,1085.428919,1066.172635,1060.191365,1074.599702,1088.206556,1102.799338,1104.511252,1122.176313,1135.167776,1164.858205,1193.626508,1221.539566,1248.656404,1270.019534,1295.729659,1298.295686,1284.337992,1273.47631,1297.384352,1298.122528,1321.110779,1343.576286,1365.545953,1362.414543,1371.03325,1371.153794,1369.325433,1373.566742,1393.821564,1407.466834,83335,114672.0417,134914.8116,171030.1628,193865.9425,214999.3596,242755.7033,271542.4388,290594.9697,295145.7838,273511.0909,273119.3008,271200.8143,259590.4675,271836.6129,254861.1124,227966.2211,237615.105,247167.9801,261210.0099,258848.2723,257067.2409,250713.4537,259077.6184,268606.2025,279466.7769,287196.3086,294862.4836,306571.121,315220.9762,297869.2103,286909.8092,287309.6828,292921.1096,295311.7525,299211.7811,298077.033,296344.9023,300543.8932,306534.8581,312487.2958,318401.5769,324278.0671,335077.2095,340845.1392,343335.0875,333053.4182,327320.6509,332720.1268,328133.8169,333437.0319,338709.5925,343951.7637,341611.0284,344398.2034,352748.3464,350794.5813,356425.347,361333.5695,360794.1951
2,43,2,23,16,3,2,6,8,1,12,10,2,12,19,1,21,26,2,1,1,14,7,4,1,11,3,1,1,3,5,15,12,8,2,3,1,9,7,3,1,2,2,1,1,3,4,9,5,1,4,1,1,1,4,1,2,4,2,2,4,227.2649821,570.8067585,488.8500161,480.9052971,611.6481691,701.230844,711.9032385,712.0910545,847.4322585,818.0639044,801.4095964,879.9730198,862.4893167,816.7428023,896.249341,849.8134472,799.5388435,853.6741224,912.2678648,966.8117805,942.1302646,938.6280202,950.7648839,997.4465987,981.6010252,995.5758129,1037.47651,1077.436962,1091.526486,1099.321694,1075.217898,1057.949753,1050.39134,1064.706658,1078.264147,1110.481141,1099.185298,1100.457015,1109.075227,1138.408342,1150.693382,1175.888465,1202.981491,1229.317804,1234.210653,1237.534893,1225.835038,1225.973016,1250.152624,1257.122312,1280.299618,1302.937957,1325.066001,1327.578147,1348.938123,1356.655445,1358.415147,1365.986929,1373.838411,1376.688245,83319,113792.4667,136573.1324,171042.25,221051.2759,241571.0899,254325.3158,284725.6796,302735.5385,305826,284200.9206,283656.2813,282646.1143,254065.7987,265963.8313,251400.8729,239450.5604,256491.6172,265545.2333,274513.0332,270553.2089,268509.444,266355.6398,274336.211,284785.3589,287966.7649,295386.5437,302747.668,316761.7031,339103.8736,324354.4239,312269.4896,312031.1791,317363.0101,319461.5947,325548.6457,323126.7588,317358.5,323224.5421,328921.8292,332521.6883,330698.5245,336285.841,341839.0884,342770.0846,345124.794,345123.5436,341480.341,346669.6857,342946.4802,348058.6056,353142.0112,358196.9384,356212.7507,361189.3757,365202.7967,363525.2989,367169.0973,370050.3226,368898.8404
3,43,2,23,16,3,2,6,8,1,12,10,2,12,19,1,21,26,2,1,1,14,7,4,1,11,3,1,1,3,5,15,12,8,2,3,1,9,7,3,1,2,2,1,1,3,4,9,5,1,4,1,1,1,4,1,2,4,2,2,4,227.2649821,570.8067585,488.8500161,480.9052971,611.6481691,701.230844,711.9032385,712.0910545,847.4322585,818.0639044,801.4095964,879.9730198,862.4893167,816.7428023,896.249341,849.8134472,799.5388435,853.6741224,912.2678648,966.8117805,942.1302646,938.6280202,950.7648839,997.4465987,981.6010252,995.5758129,1037.47651,1077.436962,1091.526486,1099.321694,1075.217898,1057.949753,1050.39134,1064.706658,1078.264147,1110.481141,1099.185298,1100.457015,1109.075227,1138.408342,1150.693382,1175.888465,1202.981491,1229.317804,1234.210653,1237.534893,1225.835038,1225.973016,1250.152624,1257.122312,1280.299618,1302.937957,1325.066001,1327.578147,1348.938123,1356.655445,1358.415147,1365.986929,1373.838411,1376.688245,83319,113792.4667,136573.1324,171042.25,221051.2759,241571.0899,254325.3158,284725.6796,302735.5385,305826,284200.9206,283656.2813,282646.1143,254065.7987,265963.8313,251400.8729,239450.5604,256491.6172,265545.2333,274513.0332,270553.2089,268509.444,266355.6398,274336.211,284785.3589,287966.7649,295386.5437,302747.668,316761.7031,339103.8736,324354.4239,312269.4896,312031.1791,317363.0101,319461.5947,325548.6457,323126.7588,317358.5,323224.5421,328921.8292,332521.6883,330698.5245,336285.841,341839.0884,342770.0846,345124.794,345123.5436,341480.341,346669.6857,342946.4802,348058.6056,353142.0112,358196.9384,356212.7507,361189.3757,365202.7967,363525.2989,367169.0973,370050.3226,368898.8404
4,46,2,16,16,2,2,5,9,1,14,10,2,16,16,1,24,25,2,1,4,7,7,3,1,11,5,1,2,2,6,15,11,7,1,2,2,7,8,3,1,4,1,1,2,1,5,13,6,1,5,1,1,1,4,1,2,4,3,3,3,162.8734505,509.3090499,481.2216712,476.3021363,599.9651514,696.3527089,722.9088167,717.4823613,858.1554861,818.9395042,804.6719323,884.6912139,844.6892542,811.9584172,892.8851224,838.5532937,791.6865962,846.3949303,905.4923838,914.9153835,911.5651177,909.749874,930.3829287,979.1238694,963.2720921,965.8984536,1009.656502,1027.888907,1047.539962,1044.524974,1022.172925,1006.727816,1001.909991,1037.808503,1057.824824,1083.97564,1081.433445,1087.200516,1096.214434,1126.478266,1129.007706,1157.864627,1185.846829,1208.093026,1234.544424,1235.401392,1216.529961,1215.918275,1240.322195,1241.891807,1265.325088,1288.204469,1310.560011,1312.810298,1334.387922,1342.247292,1344.177849,1348.632721,1353.129927,1358.597372,83343,126162.5833,139913.9375,175439.95,196076.5366,218410.6905,231060.0337,269147.8469,288222.6263,267172.8673,248167.4309,248186.896,250878.9929,229746.2548,241947.5506,228567.8736,219834.7971,237061.0383,246206.2286,258408.6729,256903.0181,255242.7281,255993.1991,264189.569,275314.8436,285776.2782,293293.4458,299092.3586,308574.6008,321151.5598,307278.5547,296941.3123,297097.5822,303447.2526,304969.4881,304301.9158,302864.0855,296665.1859,302839.6603,308709,316250.975,321987.1121,327687.6211,338164.7531,343762.8646,341337.2303,328553.9767,324467.4097,329704.7914,325303.2873,330450.0506,335567.9804,340657.3184,338872.6851,343882.8182,347979.811,346493.5583,352066.836,352972.2373,352249.0529
5,46,2,15,16,2,2,5,9,1,14,10,2,16,16,1,24,25,2,1,4,7,7,3,1,11,5,1,2,2,6,15,11,7,1,2,2,7,8,3,1,4,1,1,2,1,5,13,6,1,5,1,1,1,4,1,2,4,3,3,3,162.8734505,509.3090499,488.5117503,482.1221285,605.839597,702.3711647,728.6736628,722.6977809,863.7864733,823.7468621,809.046803,889.2213792,848.6009116,815.3975199,896.4840274,841.5686353,794.2594615,849.0326368,908.2193947,917.6076621,914.1661949,912.2678861,932.9016515,981.7124009,965.7177971,968.2988046,1012.11603,1030.357718,1050.020433,1046.943127,1024.425636,1008.871834,1003.995968,1039.93615,1059.96541,1086.137694,1083.542171,1089.262632,1098.268639,1128.565655,1131.072241,1159.96041,1187.972867,1210.235192,1236.714932,1237.540062,1218.563752,1217.916278,1242.344468,1243.887447,1267.34361,1290.245229,1312.622389,1314.85257,1336.450708,1344.308254,1346.218737,1350.662411,1355.148654,1360.606451,83343,126163.25,139259.619,175371.0886,196264.5432,218863.6386,231631.8977,270060.7938,289321.2245,267946.1964,248721.5902,248732.5323,251383.3286,230063.3974,242340.5924,228834.8785,220027.0049,237334.524,246522.3158,258776.4131,257252.7227,255574.8282,256324.4391,264554.9957,275710.3595,286206.4656,293752.3387,299570.904,309087.1032,321701.2636,307747.2381,297355.4437,297502.6735,303872.8116,305397.4388,304724.8277,303272.8515,297043.5048,303234.1815,309121.0032,316681.6552,322434.4719,328151.4455,338658.3406,344272.3056,341831.5562,328992.1345,324886.2701,330137.5501,325717.5,330877.6845,336008.8792,341111.3277,339316.7202,344339.5552,348445.3819,346950.2038,352534.9407,353439.1364,352710.4456
6,46,1,18,18,2,2,4,9,1,16,10,2,14,19,1,26,31,2,1,2,12,7,5,1,9,5,1,1,4,6,17,11,7,2,3,1,8,6,4,1,1,1,1,2,2,4,10,8,1,4,2,1,1,5,1,2,4,3,2,4,184.8447645,715.0335508,636.0189765,595.4730427,712.3620444,790.3854581,822.2776128,808.9656482,932.9006346,880.4091997,864.6002171,936.4681132,900.6565632,856.311304,930.8868619,869.2395144,810.4636131,860.7840209,915.6066577,945.5285553,929.0696858,926.0716322,944.5165866,989.1287176,979.6193138,982.7402494,1023.172311,1061.779148,1071.206694,1069.061299,1043.593212,1029.288306,1024.36053,1038.502218,1051.990625,1083.530787,1077.900278,1091.66829,1097.286449,1125.741424,1153.331932,1180.120021,1206.160519,1226.841177,1238.385481,1241.536199,1228.67113,1221.677282,1244.901004,1255.630447,1265.096578,1287.007377,1308.437082,1306.173194,1326.913344,1334.50502,1336.441653,1340.786373,1351.853995,1354.834875,83319,127487.5319,142350.6769,180368.6988,214307.1529,235455.7471,270872.4176,304618.24,322980.8317,316904.8205,294578.9291,293879.2248,291734.7552,262617.7531,274253.4724,255842.6561,224143.2318,240337.0586,248942.0045,261609.2133,259042.7215,257432.2131,253478.9558,261102,269750.861,275077.9091,282187.9547,289244.5414,306133.9259,317990.1449,303469.0034,293914.2368,294131.254,299322.607,301493.5285,307353.9274,305743.32,301308.3897,299212.7433,304748.5387,310251.4807,315721.8609,321159.9676,331162.9238,338251.6764,340577.6859,331151.3081,325883.9479,330893.1175,327501.8189,333546.3737,338440.9946,343309.4412,341143.6174,345928.0816,349832.8351,348393.3342,353709.5707,354280.3555,353345.0101
7,46,1,18,17,2,2,3,9,1,16,11,2,14,19,1,26,27,2,1,1,11,7,5,1,11,6,1,1,4,6,16,11,7,2,3,1,9,6,4,1,1,1,1,2,2,4,11,7,1,4,2,1,1,5,1,2,3,3,2,4,178.9681172,713.5688251,634.828396,599.0393936,716.5460225,794.9289423,836.4076677,821.7464106,946.200819,891.6166168,867.0322992,939.2174602,902.976974,858.1820233,933.038376,870.8861591,819.5985149,870.4252338,925.8420913,977.6594476,962.0851992,958.1428393,975.8535234,1020.191875,1003.692427,1001.893711,1042.109162,1080.538995,1089.665718,1087.121087,1065.227405,1050.182254,1044.798339,1058.761022,1072.014834,1103.409977,1092.845976,1106.324127,1111.760001,1140.145745,1167.677363,1194.415363,1220.413305,1241.014375,1252.479722,1255.468318,1239.825867,1234.720042,1257.919382,1268.513934,1277.916962,1299.810836,1321.226549,1318.790675,1339.519442,1347.053421,1355.039973,1359.237109,1370.202375,1372.994553,83319,127486.1702,142349.6923,178693.6829,213075.6667,234499.5581,261692.2809,296969.8673,315780.0303,310600.2,286397.2143,285819.8828,284454.8944,256016.1553,267764.0556,250152.7819,222616.0744,239196.8111,248004.055,256730.8676,254539.9609,253014.8776,249038.5372,256899.1852,267860.1142,274394.55,281615.9349,288782.1947,305933.4699,317968.8199,304065.7743,294329.2742,294540.3431,299813.5227,302014.6109,307967.0513,306115.3489,301619.3425,299494.6133,305096.0633,310663.8709,316198.3383,321699.7642,331818.0564,338995.7021,341340.1603,330859.5791,326205.2271,331268.6823,327836.2158,333945.0027,338891.4282,343811.1162,341615.5013,346449.4388,350392.9233,349294.7192,354673.3854,355246.5699,354289.3231
8,47,2,19,17,2,3,4,8,1,15,10,1,14,17,1,24,22,3,1,1,12,8,5,1,12,5,1,1,3,4,15,10,8,2,3,1,7,6,3,1,4,1,1,1,1,4,13,7,1,4,1,1,1,4,1,2,4,3,2,4,147.7858572,568.3937985,514.1288034,498.1257578,632.4032342,696.1391943,724.3452436,723.6384646,858.2590699,815.462882,807.5030234,906.1458804,878.2361415,839.2974071,916.2621306,863.5397611,822.5559171,852.7148689,911.105461,965.469868,945.3357255,939.0734933,953.7672517,1000.105831,982.0206474,985.1968033,1026.912031,1066.691476,1080.826564,1085.377301,1060.81088,1047.766316,1039.935042,1054.413643,1068.158185,1100.597823,1096.200411,1110.039847,1118.548549,1147.790328,1149.982144,1177.918392,1205.04173,1231.407361,1257.064401,1260.085659,1239.983297,1234.365277,1258.158204,1269.014006,1291.754781,1313.978637,1335.712388,1338.06771,1359.061817,1366.604872,1370.69606,1374.83169,1385.878927,1385.582481,83311,150566.4694,159123.6029,151753.4824,185578.2069,217206.3667,226839.8404,259698.3627,278144.8641,285079.5847,265415.7109,280099.9922,279306.1049,254250.6438,266085.6584,247300.4486,237626.9903,241795.0905,250884.6303,259888.4198,257263.8795,255388.056,252984.4895,260995.8487,272945.216,278396.702,285745.4961,293037.1012,306951.2731,315202.7992,301896.5197,292814.4948,293103.3973,298545.7157,300824.5166,306959.3795,305490.2742,300849.4778,306909.3605,312699.2938,320101.6605,325761.9262,331387.4663,336978.5994,342535.6402,344914.741,332070.7884,327273.1875,332464.1643,328931.7703,334045.6145,339130.9694,344188.0722,342374.7088,347353.6493,351411.0572,349896.0809,355414.3797,355998.6117,355008.4263
9,47,2,20,17,2,3,4,8,1,15,10,1,14,17,1,24,22,3,1,1,12,8,5,1,12,5,1,1,3,4,16,11,8,2,3,1,7,6,3,1,4,1,1,1,1,4,12,7,1,4,1,1,1,4,1,2,4,3,2,4,147.9345025,568.4308872,510.369474,495.2045384,628.7869364,692.2924174,720.5124419,720.1075162,854.1148646,812.0219913,804.360235,902.6479252,875.1757641,836.6815626,913.4249853,861.2108568,820.5720771,850.6878622,908.9504029,963.1973798,943.2292946,937.0528954,951.7582954,998.0083891,980.0595925,983.2678873,1024.909505,1064.619652,1078.751506,1083.325011,1056.870641,1041.879392,1034.241192,1048.692076,1062.431292,1094.743825,1090.497052,1104.384159,1112.909152,1142.042904,1144.295884,1172.130896,1199.156639,1225.428109,1250.994237,1254.075443,1236.24166,1230.712901,1254.452042,1265.320246,1288.010743,1310.185883,1331.872405,1334.263562,1355.212973,1362.757221,1366.879156,1371.034678,1382.073844,1381.818044,83311,150566.7959,159443.6667,152095.9767,185528.7273,216811.7473,226360.4316,258938.4175,277214.9327,284208.5966,264764.6744,279341.0692,278626.4792,253798.4037,265563.2037,246946.4032,237356.899,241509.3128,250557.3632,259520.4554,256927.2044,255070.9914,252684.1849,260663.3138,272581.7371,278019.3398,285341.0389,292605.9806,306472.0728,314699.8151,300636.1103,290796.0034,291135.8433,296537.2881,298813.5869,304894.902,303486.0479,298926.5925,304948.1553,310690.4087,318049.7309,323664.5061,329245.1489,334791.9697,340305.2749,342689.8925,330979.2104,326230.2994,331394.9915,327894.1894,332982.5278,338042.6759,343074.8674,341283.5792,346238.3815,350279.9729,348785.2493,354283.25,354870.3757,353897.1885
10,47,2,21,17,2,2,5,10,1,14,9,2,14,19,1,22,21,1,1,2,11,7,7,1,10,3,1,1,5,6,14,12,7,2,3,2,6,8,3,1,3,1,1,1,1,4,11,4,1,3,1,1,1,6,1,2,3,2,2,4,144.1520326,567.4979817,502.3242976,490.8129545,624.0617857,710.029809,727.7441958,718.5885668,849.371901,813.6648446,811.8308795,863.1155335,840.8500225,800.5637786,878.8238683,831.597738,794.9435266,857.8283212,915.8703446,944.8853596,928.5054187,925.3535863,930.8530514,978.1763474,965.0450496,976.963558,1019.535438,1060.083948,1061.153283,1057.840757,1037.791588,1021.524188,1016.517195,1031.431248,1045.658904,1059.821202,1062.400895,1063.581173,1072.814746,1103.131003,1109.551236,1138.428026,1166.420583,1193.592632,1220.00046,1223.544057,1208.111182,1209.722563,1234.266387,1253.212284,1276.536522,1299.314256,1321.574803,1316.999815,1338.498566,1346.31158,1354.589946,1362.20358,1372.278367,1375.148006,100373,166861.8163,138780.9714,173741.3793,206272.6742,226667.8901,237970.6563,276441.5377,294023.4953,298506.562,280150.6769,287057.8182,285612.2877,257729.697,269175.3675,254114.9202,244285.622,253397.1714,262422.3555,266222.5869,263504.9196,261666.8615,255470.9832,263430.1464,273334.6787,279536.1468,286959.7628,294324.9252,299280.7181,311784.2491,299537.7993,288810.8797,289158.557,294607.86,296918.8416,301950.5803,300792.1833,294781.069,300840.4348,306589.2601,312162.4663,317806.3456,323415.811,328991.1763,334532.7515,336994.024,326378.6087,335331.9771,340538.7743,337790.8357,342931.8531,348043.907,353127.2416,350244.1381,355223.3857,359258.9397,358049.337,361723.0811,362890.4785,361816.3564
11,47,2,21,17,2,2,5,10,1,14,9,2,14,19,1,23,21,1,1,2,11,7,7,1,10,3,1,1,5,6,14,12,7,2,3,2,6,8,3,1,3,1,1,1,1,4,11,4,1,3,1,1,1,6,1,2,3,2,2,4,144.1520326,567.4979817,502.3242976,490.8129545,624.0617857,710.029809,727.7441958,718.5885668,849.371901,813.6648446,811.8308795,863.1155335,840.8500225,800.5637786,878.8238683,829.0445001,792.7188026,855.489029,913.424236,942.4028967,926.1763451,923.1008019,928.6562794,975.9019653,962.8849713,974.8082937,1017.314043,1057.799785,1058.911235,1055.654957,1035.74743,1019.589104,1014.634949,1029.539325,1043.764636,1057.918463,1060.531046,1061.756444,1070.994052,1101.273462,1107.701809,1136.544022,1164.50326,1191.643175,1218.01999,1221.58235,1206.232549,1207.863286,1232.379999,1251.317018,1274.615983,1297.369223,1319.606021,1315.069507,1336.545855,1344.359518,1352.643217,1360.257697,1370.330205,1373.216942,100373,166861.8163,138780.9714,173741.3793,206272.6742,226667.8901,237970.6563,276441.5377,294023.4953,298506.562,280150.6769,287057.8182,285612.2877,257729.697,269175.3675,253513.6614,243791.2952,252862.0047,261847.1415,265634.9907,262958.1289,261144.4914,254989.8368,262917.8417,272803.248,278986.5059,286383.0591,293721.6,298669.9346,311140.2368,298969.725,288302.887,288661.2943,294095.7973,296404.2303,301422.8889,300278.3526,294298.8688,300343.9536,306076.5679,311637.4343,317265.7073,322859.766,328419.9212,333946.4804,336407.406,325841.3208,334775.2486,339968.7977,337233.452,342361.5577,347460.8539,352531.5826,349666.2672,354633.4231,358661.1749,357459.71,361126.7305,362294.1957,361229.2493
12,44,1,20,15,4,3,3,9,1,14,10,2,15,15,2,24,26,1,1,1,10,7,4,1,11,5,2,1,3,7,15,12,8,2,4,1,9,5,2,1,3,1,1,2,1,6,13,5,1,4,1,1,1,4,1,2,3,2,2,4,181.4446447,728.8757858,626.3515479,599.9477061,658.7221305,739.9294778,809.5677104,797.2387574,924.0210766,881.3897519,867.1232518,940.4011133,905.2143314,870.305303,941.5025125,883.3297146,831.5653248,891.9906934,948.0517039,1000.489331,984.4011662,979.7157684,995.4645576,1040.712961,1024.372641,1028.689629,1046.155409,1085.917882,1099.855128,1093.155858,1067.979073,1050.923407,1043.490294,1057.896822,1061.998626,1094.534822,1086.701831,1102.500855,1114.875294,1144.131901,1149.99056,1177.926583,1205.049711,1226.568974,1252.262094,1250.537074,1229.900175,1230.000521,1253.821585,1264.732435,1287.497575,1309.743903,1331.498431,1333.900898,1354.913702,1370.901019,1378.770311,1386.063307,1393.634247,1396.221495,100792,146799.8222,157364.8,187404.4,232341.1905,263315.4253,303800.6778,334891.7071,353254.23,350727.8158,329358.6371,328089.4524,322114.7234,304934.3654,328173.2215,303413.6319,285015.1779,294039.7177,302978.3095,311832.1754,307263.8869,304057.9211,301253.5259,309278.8069,297181.8811,307161.8835,313723.0956,321093.8135,334945.9333,348744.9656,333526.2491,321313.8097,320833.7609,326088.291,328754.0165,334814.5099,332142.8179,327880.7453,332910.0281,338636.6137,343946.2284,349568.3754,355156.0307,365421.2256,370909.7447,367555.6418,353976.6322,350248.8612,355392.6328,351613.9218,356682.2507,361722.4222,366734.6704,364678.5753,369614.2732,378584.0272,377227.8733,380768.5925,383554.1093,382269.8127
13,50,1,21,19,2,2,3,9,1,10,8,2,14,18,2,27,23,3,1,3,8,7,4,1,12,4,1,1,3,5,15,13,7,2,4,2,8,7,4,1,3,1,1,1,3,4,12,9,2,2,2,1,1,4,1,1,4,3,3,4,138.808141,677.6763355,591.6576877,548.3917746,664.5396903,741.8726944,791.0933986,780.8752458,901.1468978,877.8058934,877.5311825,948.76721,919.5391336,875.2969282,944.9532192,879.7982272,836.4286079,884.6619273,939.6681521,960.1788931,950.8803572,948.0304212,964.4224967,1010.042627,992.5740371,999.6993234,1040.779454,1079.996613,1093.809161,1092.780363,1069.429409,1049.131827,1043.659074,1057.920078,1061.981354,1075.690013,1070.05656,1082.092274,1088.567987,1117.961269,1124.068592,1152.115154,1179.332455,1205.778079,1209.887571,1213.506231,1196.86937,1185.905374,1195.596399,1216.388308,1226.47814,1249.413538,1271.814767,1275.964539,1297.54856,1318.667345,1320.825575,1325.412864,1334.982688,1338.213533,100816,141146.3333,152805.3194,187199.6374,218042.4839,237329.3158,243642.0408,277460.5047,294869.787,303760.4831,286593.5952,286012.3203,284621.2606,257493.9938,280696.9321,260656.3704,249326.6604,274035.4186,282755.9167,299129.7945,296019.141,293231.5214,290679.7815,298491.4268,308599.0398,316214.7098,323407.8672,330545.0467,344024.0346,353597.0151,338282.7107,325022.8567,324519.5367,329698.043,332288.8791,337041.4123,334631.9335,328703.9752,336243.2661,341796.375,346965.3535,352419.262,357840.4144,363229.1048,368235.1958,370249.2933,357800.796,351163.1519,355432.3819,353849.112,359816.8288,364689.0407,369534.9162,367498.1791,372271.952,377020.3324,375271.3289,380459.5013,380801.1244,379581.2051
